id,sub-category,title,description,verifiability
25,5,방위사업 비리 적발 시 이적죄에 준하도록 처벌 형량 대폭 강화 및 입찰 참여 자격 제한 강화,,가능
26,5,방산 업체가 부정한 방법으로 부당한 이익을 취할 경우 징벌적 가산금을 대폭 상향하고 원스트라이크 아웃제로 즉시 퇴출,,위와 통합
27,5,"방위사업 소요의 합리적이고 효율적인 결정을 위해 타 경제부처 및 외부 연구기관의 독립적, 전문적 검증 제도화",,위와 통합
28,5,소요와 획득 업무의 전문성 및 투명성을 제고하기 위해 방위사업의 독립성 확보와 효과적인 업무 협업이 가능하도록 개선,,위와 통합
29,5,방위사업 정책과 재정 운용에 관한 심의 · 조정 기능인 「방위사업추진위원회」에 민간 참여 확대,,위와 통합
30,6,고위 공직자 임용 기준 강화,"병역 면탈, 부동산 투기, 세금 탈루, 위장 전입, 논문 표절 등 5대 비리 관련자는 고위공직에서 배제 추진",가능
31,6,공직윤리를 강화하여 부패 없는 깨끗한 공직사회 구현,"- 공직자 재산 공개 대상 확대
- 취업제한 기간 확대, 업무 관련성 범위 확대
- 공직비리 내부 고발자에 대한 보호 강화
- 공직자의 이해 충돌 방지시스템 강화
- 공직자가 퇴직관료와 접촉시 서면보고 의무화",가능
32,6,능력과 전문성에 기초한 공정하고 투명한 공직인사로 대전환,"- 적재적소 인사로 공직인사 운영기조 전환
- 장관님 기관장 등 주요 공직자에 대한 인사청문 대상 확대
- 고위 공직자 인사검증법 제정을 통한 인사의 투명화 - 시스템화 구현",불가
33,7,K스포츠나 미르재단과 같은 특혜성 공익법인 설립 근절,,불가
34,7,공익법인에 대한 감시를 강화하기 위하여 민관이 공동참여하는  「시민공익위원회(가칭)」 설립 추진,,가능
35,7,공익법인의 정기적 회계감사와 공익성 준수 여부 등 감독 강화,,위와 통합
36,8,시대정신에 부합하는 대한민국의 새로운 미래를 설계하기 위한 개헌 추진,"- 국민주권의 확고한 원칙을 기본으로 국민의 참여와 토론을 통해 진행되는 국민중심의 개헌 추진
- 대통령과 국회, 중앙과 지방의 균형을 맞추고 소통과 협치를 통해 안정과 통합을 도모하는 분권과 협치의 개헌 추진
- 국가 대개조의 관점에서 선거제도와 정부형태를 개선하는 정치혁신의 개헌 추진",가능
37,8,국민주권시대를 지향하는 개헌의 주요 방향,"- 새 헌법 전문에 부마항쟁, 5·18광주민주화운동, 6월민주항쟁, 촛불항쟁의 정신을 반영
- 사회의 변화를 반영해 국민기본권을 강화
- 지방자치권을 실질적으로 보장하고 지방분권, 균형발전을 정착
- 제왕적 대통령의 절대적 권한을 조정하고 삼권분립 속에 협치를 도모",위와 통합
38,8,개헌 추진 방안,"- 대선 후 정부에 개헌특별위원회를 구성하고, 산하에 국민의견을 수렴하기 위한 '국민참여개헌논의기구' 설치
- 개헌 관련 공약 내용을 고집하지 않고 국민의 의견에 따른 개헌 추진
- 국회가 2018년 초까지 개헌안을 통과시키고 6월 지방선거에서 국민투표 실시 추진",위와 통합
39,9,고위공직자 비리수사처의 설치와 검 · 경수사권 조정,"- 고위공직자의 비리행위에 대한 수사와 기소를 전담하는 고위공직자비리수사처를 설치하여 검찰의 권력 눈치보기 수사 차단
- 수사권과 기소권을 분리해 검찰과 경찰의 견제와 균형의 원리가 제대로 작동되도록 검·경수사권 조정
- 검찰은 원칙적으로 기소권과 함께 기소와 공소유지를 위한 2차적·보충적 수사권 보유",가능
40,9,검찰 인사 중립성 · 독립성 강화,"- 독립된 검찰총장후보위원회를 구성하여 검찰총장 임명에 있어 권력 개입을 차단하고 검찰총장 국회출석 의무화 추진
- 법무부의 탈검찰화를 추진하고 검사의 외부기관 파견 억제
- 검찰총장추천위원회와 검찰인사위원회의 중립성과 독립성을 확보하고, 검사징계위원회와 감찰위원회의 위상을 강화하여 검사 징계 실효성 확보",가능
41,9,검찰의 외부 견제기능 강화,"- 재정신청 대상을 현행 고소사건뿐만 아니라 고발사건까지 확대 적용하고, 공소유지변호사 제도 부활
- 중대 부패범죄에 대한 기소법정주의를 도입하고, 검찰의 무리한 기소/불기소를 통제하기 위해 검찰시민위원회 법제화",가능
42,9,권력기관의 수사방해 행위 제어,청와대등 국가비밀 보유 기관에 대한 압수수색 부당거부 제한,가능
43,10,광역단위 자치경찰제 전국 확대,,가능
44,10,경찰위원회' 실질화를 통해 경찰에 대한 민주적 통제 강화,,불가
45,10,"국가경찰은 전국적 치안 수요에 대응, 자치 경찰은 지역주민 밀착형 치안 서비스 제공",,위와 통합
46,10,특별사법경찰인 노동부 근로감독관의 실질수사권 강화,"힘없는 노동자 권익 보호, 최저임금 위반 행위 철저히 단속",위와 통합
47,11,감사원의 독립성 강화,"- 감사원의 회계검사권 국회 이관으로 국회 소속 회계검사기관 설치
- 국회 회계검사기관의 직무상 독립성 헌법에 명시
- 감사원장 및 위원의 임기 보장과 정치적 중립성 강화",가능
48,11,감사원의 감사에 대한 투명성과 공정성 강화,"- 감사위원회의 의결은 공개를 원칙으로 함
- 국회 소관 상임위가 요구시 비공개 사항도 상임위 보고
- 감사원 감사 대상에 국가정보원(해외안보정보원)도 포함
- 국가정보원 감사결과는 대통령과 국회정보위원회에 보고",위와 통합
49,11,감사원의 전문성 강화,성과감사 중심으로 감사원의 역할 강화,불가
50,12,군지휘관의 군사법권 및 수사권에 대한 개입 여지를 차단하기 위해 관할관의 확인조치권과 심판관 제도를 폐지,,가능
51,12,"군판사 인사위원회를 설치하고 비군사범죄를 민간에 이첩하는 한편, 헌병, 기무부대 등의 군 수사기관에 대한 군 검찰의 수사지도권 도입",,위와 통합
52,12,각 부대별 징계권자의 자의적인 영창처분을 방지하기 위하여 인권담당 군법무관의 의견에 구속되도록 추진,,위와 통합
53,13,"국가정보원의 국내 정보수집 업무를 전면 폐지하고, 대북한 및 해외, 안보 및 테러, 국제범죄를 전담하는 최고의 전문 정보기관인 '해외안보정보원'으로 개편",,가능
54,13,"국정원의 수사기능을 폐지하고, 대공수사권은 국가경찰 산하에 안보수사국을 신설하여 대공수사에 빈틈이 없도록 만전",,위와 통합
55,13,"불법 민간인 사찰, 정치와 선거개입, 간첩조작, 종북몰이 등 4대 공안 범죄에 연루 · 가담한 조직과 인력에 대한 엄중한 책임추궁 및 처벌 형량 강화",,가능
56,13,테러 및 사이버 보안업무와 관련해 정보기관이 권한을 남용하거나 인권침해 행위를 하지 않도록 국회 통제장치 강화,,위와 통합
57,13,"정보기관장 국회 임명동의, 임기제 검토 등 정보기관 전문성 제고방안 마련",,가능
58,14,대통령 집무실 광화문 정부청사로 이전,"청와대, 북악산 시민휴식공간으로 조성",가능
59,14,대통령의 24시간' 공개,대통령의 일과를 국민에게 투명하게 보고,가능
60,14,"저도(대통령별장) 개방 및 반환으로 지역 어민의 생업권, 생활편의 도모",대통령의 추억 저도'를 '국민의 추억 저도'로,가능
61,14,"대통령 인사 시스템 투명화, '인사추천 실명제' 시행",추천부터 인사 결정의 전 과정 기록,가능
62,14,"대통령 직속 경호실폐지, 경찰청 산하 '대통령 경호국'으로 위상조정",,가능
63,15,국민과 함께하는 혁신적인 열린 정부,"- 정보공개법 전면 개정으로 국민과 정보 공유하는 열린 정부 완성
- 국가기록원 독립성 강화 통한 대통령 및 정부기록물의 공정한 관리",가능
64,15,국민의 주도하는 행정혁신,"- 국민발안권, 국민투표권, 국민소환권 등 국민참여 확대 · 강화
- 국민이 만들고, 국민이 주도하는 개방형 정부혁신 플랫폼 구축",가능
65,15,국민 위한 국민의 공기업,"- 공공기관의 사회적 가치 기본법 제정 통한 공공기관의 사회적 책임 강화
- 감사 독립성, 독립적 리스크 관리 강화 통한 경영책임성 확보
- 노동자 이사제 도입 등 공공기관 지배구조 개혁
- 공공기관의 공공성 강화와 시민단체 참여하는 '국민중심의 경영평가'",가능
66,16,18세로 선거연령 인하하여 국민의 정치참여 확대,,가능
67,16,투표시간 연장으로 국민의 투표권 보장,,가능
68,16,원하는 국민이면 모두 참여하여 정당의 공직후보를 선출하도록 하는 국민 경선제도 도입,,가능
69,16,"국회의원, 지방자치단체장, 지방의원 등의 피선거권을 선거연령과 일치시켜 25세 이하 청년의 피선거권 확대",,가능
70,17,국회 구성의 비례성 강화 및 지역편중 완화,국회의원선거에 권역별 정당명부 비례대표제 도입,가능
71,17,개헌을 통해 대통령선거 결선투표제 도입,,가능
72,17,장애인과 노령자에 대한 투표 편의 제공 강화,,불가
73,17,"공정한 선거, 돈 안 드는 선거 실현","- 예비후보자제도 상시 운영, 사이버 선거운동 확대 등 선거운동방법 확대
- 완전선거공영제 실시, 정치신인을 위한 후원회 제도 개선 등을 통한 돈 안드는 선거 실현
- 부정부패 등으로 재 · 보궐선거 사유를 제공한 정당에 대해 당해 선거에 해당 정당의 후보 무공천 제도화",가능
74,18,정당가입 연령제한을 폐지하고 정당 자율적으로 운영,,가능
75,18,공무원과 교사의 직위를 이용하지 않는 범위 내에서 정치적 의사표현 보장,,가능
76,18,"학교, 정당, 선거관리위원회 등을 통한 자율적인 민주시민교육 확대",,불가
77,18,정당의 국민여론수렴 기능 및 정책기능 강화,"- 정당의 국민여론수렴 기능 강화를 위해 시 · 도당 이외에 시군구당 설치 허용
- 정당의 원내정당화 및 정책기능 강화를 위해 국회의 정당지원기능 강화",가능
78,18,투명하고 깨끗한 정치자금 제도 정착,"- 헌법재판소 결정에 부합하도록 정당 후원회 제도 정비
- 정당의 고액 특별당비 내역 공개",가능
79,19,"중요 입법쟁점 사안에 대해, '시민의회' 개최로 여론수렴 기능 보완",,불가
80,19,국회의원 등에 대한 국민소환제 도입 검토로 비리 등 연루된 선출직 공직자 조기 퇴출,,가능
81,19,상임위 심사 제척 회피제도' 도입,"- 출신 직업별 이해관계가 있는 국회의원들은 해당 상임위에 과반수 배치 금지
- 상임위 안건 심사시 출신 직업별 이해관계가 있는 국회의원 심사 회피",가능
82,19,"국정조사, 예산결산심사 기능 강화, 허위자료 제출자 처벌 규정 신설 등 행정부에 대한 견제와 감시 기능 강화",,불가
83,19,"행정부처의 행정입법(시행령, 시행규칙)에 대한 국회의 심사 강화",,가능
